id,week_number,home,away,comp
1,4,1,2,Premier League
2,4,3,4,Premier League
3,4,5,6,Premier League
4,4,7,8,Premier League
5,4,9,10,Premier League
6,4,16,11,Premier League
7,4,12,13,Premier League
8,4,14,15,Premier League
9,4,17,18,Premier League
10,4,19,20,Premier League
11,5,4,1,Premier League
12,5,6,2,Premier League
13,5,8,3,Premier League
14,5,10,5,Premier League
15,5,11,7,Premier League
16,5,13,9,Premier League
17,5,15,16,Premier League
18,5,18,12,Premier League
19,5,20,14,Premier League
20,5,19,17,Premier League
21,6,1,6,Premier League
22,6,4,8,Premier League
23,6,2,10,Premier League
24,6,3,11,Premier League
25,6,5,13,Premier League
26,6,7,15,Premier League
27,6,9,18,Premier League
28,6,16,20,Premier League
29,6,12,19,Premier League
30,6,14,17,Premier League
31,8,8,1,Premier League
32,8,10,6,Premier League
33,8,11,4,Premier League
34,8,13,2,Premier League
35,8,15,3,Premier League
36,8,18,5,Premier League
37,8,20,7,Premier League
38,8,19,9,Premier League
39,8,17,16,Premier League
40,8,14,12,Premier League
41,9,1,10,Premier League
42,9,8,11,Premier League
43,9,6,13,Premier League
44,9,4,15,Premier League
45,9,2,18,Premier League
46,9,3,20,Premier League
47,9,5,19,Premier League
48,9,7,17,Premier League
49,9,9,14,Premier League
50,9,16,12,Premier League
51,10,11,1,Premier League
52,10,13,10,Premier League
53,10,15,8,Premier League
54,10,18,6,Premier League
55,10,20,4,Premier League
56,10,19,2,Premier League
57,10,17,3,Premier League
58,10,14,5,Premier League
59,10,12,7,Premier League
60,10,16,9,Premier League
61,12,1,13,Premier League
62,12,11,15,Premier League
63,12,10,18,Premier League
64,12,8,20,Premier League
65,12,6,19,Premier League
66,12,4,17,Premier League
67,12,2,14,Premier League
68,12,3,12,Premier League
69,12,5,16,Premier League
70,12,7,9,Premier League
71,13,15,1,Premier League
72,13,18,13,Premier League
73,13,20,11,Premier League
74,13,19,10,Premier League
75,13,17,8,Premier League
76,13,14,6,Premier League
77,13,12,4,Premier League
78,13,16,2,Premier League
79,13,9,3,Premier League
80,13,7,5,Premier League
81,14,1,18,Premier League
82,14,15,20,Premier League
83,14,13,19,Premier League
84,14,11,17,Premier League
85,14,10,14,Premier League
86,14,8,12,Premier League
87,14,6,16,Premier League
88,14,4,9,Premier League
89,14,2,7,Premier League
90,14,3,5,Premier League
91,16,20,1,Premier League
92,16,19,18,Premier League
93,16,17,15,Premier League
94,16,14,13,Premier League
95,16,12,11,Premier League
96,16,16,10,Premier League
97,16,9,8,Premier League
98,16,7,6,Premier League
99,16,5,4,Premier League
100,16,3,2,Premier League
101,17,1,19,Premier League
102,17,20,17,Premier League
103,17,18,14,Premier League
104,17,15,12,Premier League
105,17,13,16,Premier League
106,17,11,9,Premier League
107,17,10,7,Premier League
108,17,8,5,Premier League
109,17,6,3,Premier League
110,17,4,2,Premier League
111,18,17,1,Premier League
112,18,14,19,Premier League
113,18,12,20,Premier League
114,18,16,18,Premier League
115,18,9,15,Premier League
116,18,7,13,Premier League
117,18,5,11,Premier League
118,18,3,10,Premier League
119,18,2,8,Premier League
120,18,4,6,Premier League
121,20,1,14,Premier League
122,20,17,12,Premier League
123,20,19,16,Premier League
124,20,20,9,Premier League
125,20,18,7,Premier League
126,20,15,5,Premier League
127,20,13,3,Premier League
128,20,11,2,Premier League
129,20,10,4,Premier League
130,20,8,6,Premier League
131,21,12,1,Premier League
132,21,16,14,Premier League
133,21,9,17,Premier League
134,21,7,19,Premier League
135,21,5,20,Premier League
136,21,3,18,Premier League
137,21,2,15,Premier League
138,21,4,13,Premier League
139,21,6,11,Premier League
140,21,8,10,Premier League
141,22,1,16,Premier League
142,22,12,9,Premier League
143,22,14,7,Premier League
144,22,17,5,Premier League
145,22,19,3,Premier League
146,22,20,2,Premier League
147,22,18,4,Premier League
148,22,15,6,Premier League
149,22,13,8,Premier League
150,22,11,10,Premier League
151,24,9,1,Premier League
152,24,7,16,Premier League
153,24,5,12,Premier League
154,24,3,14,Premier League
155,24,2,17,Premier League
156,24,4,19,Premier League
157,24,6,20,Premier League
158,24,8,18,Premier League
159,24,10,15,Premier League
160,24,11,13,Premier League
161,25,1,7,Premier League
