1 vs 14 - Home Chance: 19, Away Chance: 6 - Home Possession: 76, Away_Possession: 24
17 vs 12 - Home Chance: 18, Away Chance: 3 - Home Possession: 75, Away_Possession: 25
19 vs 16 - Home Chance: 20, Away Chance: 9 - Home Possession: 69, Away_Possession: 31
20 vs 9 - Home Chance: 22, Away Chance: 3 - Home Possession: 72, Away_Possession: 28
18 vs 7 - Home Chance: 5, Away Chance: 24 - Home Possession: 25, Away_Possession: 75
15 vs 5 - Home Chance: 15, Away Chance: 13 - Home Possession: 54, Away_Possession: 46
13 vs 3 - Home Chance: 20, Away Chance: 4 - Home Possession: 80, Away_Possession: 20
11 vs 2 - Home Chance: 22, Away Chance: 5 - Home Possession: 73, Away_Possession: 27
10 vs 4 - Home Chance: 27, Away Chance: 2 - Home Possession: 74, Away_Possession: 26
8 vs 6 - Home Chance: 22, Away Chance: 4 - Home Possession: 78, Away_Possession: 22
21 vs 34 - Home Chance: 22, Away Chance: 2 - Home Possession: 70, Away_Possession: 30
37 vs 32 - Home Chance: 21, Away Chance: 6 - Home Possession: 78, Away_Possession: 22
39 vs 36 - Home Chance: 21, Away Chance: 5 - Home Possession: 74, Away_Possession: 26
40 vs 29 - Home Chance: 18, Away Chance: 4 - Home Possession: 71, Away_Possession: 29
38 vs 27 - Home Chance: 3, Away Chance: 20 - Home Possession: 21, Away_Possession: 79
35 vs 25 - Home Chance: 23, Away Chance: 3 - Home Possession: 71, Away_Possession: 29
33 vs 23 - Home Chance: 17, Away Chance: 3 - Home Possession: 70, Away_Possession: 30
31 vs 22 - Home Chance: 8, Away Chance: 19 - Home Possession: 30, Away_Possession: 70
30 vs 24 - Home Chance: 16, Away Chance: 5 - Home Possession: 76, Away_Possession: 24
28 vs 26 - Home Chance: 16, Away Chance: 5 - Home Possession: 76, Away_Possession: 24
41 vs 54 - Home Chance: 5, Away Chance: 19 - Home Possession: 21, Away_Possession: 79
57 vs 52 - Home Chance: 17, Away Chance: 1 - Home Possession: 74, Away_Possession: 26
59 vs 56 - Home Chance: 23, Away Chance: 2 - Home Possession: 75, Away_Possession: 25
60 vs 49 - Home Chance: 27, Away Chance: 6 - Home Possession: 71, Away_Possession: 29
58 vs 47 - Home Chance: 21, Away Chance: 7 - Home Possession: 75, Away_Possession: 25
55 vs 45 - Home Chance: 4, Away Chance: 23 - Home Possession: 24, Away_Possession: 76
53 vs 43 - Home Chance: 6, Away Chance: 24 - Home Possession: 20, Away_Possession: 80
51 vs 42 - Home Chance: 12, Away Chance: 9 - Home Possession: 57, Away_Possession: 43
50 vs 44 - Home Chance: 17, Away Chance: 5 - Home Possession: 77, Away_Possession: 23
48 vs 46 - Home Chance: 3, Away Chance: 14 - Home Possession: 22, Away_Possession: 78
61 vs 74 - Home Chance: 19, Away Chance: 4 - Home Possession: 80, Away_Possession: 20
77 vs 72 - Home Chance: 3, Away Chance: 17 - Home Possession: 20, Away_Possession: 80
79 vs 76 - Home Chance: 16, Away Chance: 5 - Home Possession: 76, Away_Possession: 24
80 vs 69 - Home Chance: 28, Away Chance: 3 - Home Possession: 71, Away_Possession: 29
78 vs 67 - Home Chance: 5, Away Chance: 14 - Home Possession: 26, Away_Possession: 74
75 vs 65 - Home Chance: 19, Away Chance: 4 - Home Possession: 79, Away_Possession: 21
73 vs 63 - Home Chance: 13, Away Chance: 14 - Home Possession: 48, Away_Possession: 52
71 vs 62 - Home Chance: 14, Away Chance: 6 - Home Possession: 70, Away_Possession: 30
70 vs 64 - Home Chance: 23, Away Chance: 9 - Home Possession: 72, Away_Possession: 28
68 vs 66 - Home Chance: 13, Away Chance: 2 - Home Possession: 79, Away_Possession: 21
81 vs 94 - Home Chance: 5, Away Chance: 15 - Home Possession: 25, Away_Possession: 75
97 vs 92 - Home Chance: 19, Away Chance: 3 - Home Possession: 79, Away_Possession: 21
99 vs 96 - Home Chance: 18, Away Chance: 7 - Home Possession: 72, Away_Possession: 28
